17/03/23 06:19:13 INFO gcs.GoogleHadoopFileSystemBase: GHFS version: 1.6.0-hadoop2
17/03/23 06:19:14 INFO client.RMProxy: Connecting to ResourceManager at cluster19-m/10.138.0.3:8032
17/03/23 06:19:15 WARN mapreduce.JobResourceUploader: Hadoop command-line option parsing not performed. Implement the Tool interface and execute your application with ToolRunner to remedy this.
17/03/23 06:19:17 INFO input.FileInputFormat: Total input paths to process : 3036
17/03/23 06:19:17 INFO mapreduce.JobSubmitter: number of splits:3036
17/03/23 06:19:17 INFO mapreduce.JobSubmitter: Submitting tokens for job: job_1490235534738_0005
17/03/23 06:19:17 INFO impl.YarnClientImpl: Submitted application application_1490235534738_0005
17/03/23 06:19:17 INFO mapreduce.Job: The url to track the job: http://cluster19-m:8088/proxy/application_1490235534738_0005/
17/03/23 06:19:17 INFO mapreduce.Job: Running job: job_1490235534738_0005
17/03/23 06:19:23 INFO mapreduce.Job: Job job_1490235534738_0005 running in uber mode : false
17/03/23 06:19:23 INFO mapreduce.Job:  map 0% reduce 0%
17/03/23 06:19:49 INFO mapreduce.Job:  map 1% reduce 0%
17/03/23 06:20:22 INFO mapreduce.Job:  map 2% reduce 0%
17/03/23 06:20:51 INFO mapreduce.Job:  map 3% reduce 0%
17/03/23 06:21:24 INFO mapreduce.Job:  map 4% reduce 0%
17/03/23 06:21:57 INFO mapreduce.Job:  map 5% reduce 0%
17/03/23 06:22:27 INFO mapreduce.Job:  map 6% reduce 0%
17/03/23 06:22:56 INFO mapreduce.Job:  map 7% reduce 0%
17/03/23 06:23:26 INFO mapreduce.Job:  map 8% reduce 0%
17/03/23 06:23:57 INFO mapreduce.Job:  map 9% reduce 0%
17/03/23 06:24:27 INFO mapreduce.Job:  map 10% reduce 0%
17/03/23 06:24:55 INFO mapreduce.Job:  map 11% reduce 0%
17/03/23 06:25:24 INFO mapreduce.Job:  map 12% reduce 0%
17/03/23 06:25:53 INFO mapreduce.Job:  map 13% reduce 0%
17/03/23 06:26:23 INFO mapreduce.Job:  map 14% reduce 0%
17/03/23 06:26:55 INFO mapreduce.Job:  map 15% reduce 0%
17/03/23 06:27:23 INFO mapreduce.Job:  map 16% reduce 0%
17/03/23 06:27:53 INFO mapreduce.Job:  map 17% reduce 0%
17/03/23 06:28:21 INFO mapreduce.Job:  map 18% reduce 0%
17/03/23 06:28:52 INFO mapreduce.Job:  map 19% reduce 0%
17/03/23 06:29:22 INFO mapreduce.Job:  map 20% reduce 0%
17/03/23 06:29:49 INFO mapreduce.Job:  map 20% reduce 1%
17/03/23 06:29:50 INFO mapreduce.Job:  map 21% reduce 1%
17/03/23 06:30:22 INFO mapreduce.Job:  map 22% reduce 1%
17/03/23 06:30:53 INFO mapreduce.Job:  map 23% reduce 1%
17/03/23 06:31:20 INFO mapreduce.Job:  map 24% reduce 1%
17/03/23 06:31:52 INFO mapreduce.Job:  map 25% reduce 1%
17/03/23 06:32:23 INFO mapreduce.Job:  map 26% reduce 1%
17/03/23 06:32:50 INFO mapreduce.Job:  map 27% reduce 1%
17/03/23 06:33:23 INFO mapreduce.Job:  map 28% reduce 1%
17/03/23 06:33:51 INFO mapreduce.Job:  map 29% reduce 1%
17/03/23 06:34:20 INFO mapreduce.Job:  map 30% reduce 1%
17/03/23 06:34:49 INFO mapreduce.Job:  map 31% reduce 1%
17/03/23 06:35:20 INFO mapreduce.Job:  map 32% reduce 1%
17/03/23 06:35:49 INFO mapreduce.Job:  map 33% reduce 1%
17/03/23 06:36:19 INFO mapreduce.Job:  map 34% reduce 1%
17/03/23 06:36:47 INFO mapreduce.Job:  map 35% reduce 1%
17/03/23 06:37:16 INFO mapreduce.Job:  map 36% reduce 1%
17/03/23 06:37:48 INFO mapreduce.Job:  map 37% reduce 1%
17/03/23 06:38:16 INFO mapreduce.Job:  map 38% reduce 1%
17/03/23 06:38:45 INFO mapreduce.Job:  map 39% reduce 1%
17/03/23 06:39:15 INFO mapreduce.Job:  map 40% reduce 1%
17/03/23 06:39:46 INFO mapreduce.Job:  map 40% reduce 2%
17/03/23 06:39:50 INFO mapreduce.Job:  map 41% reduce 2%
17/03/23 06:40:31 INFO mapreduce.Job:  map 42% reduce 2%
17/03/23 06:41:13 INFO mapreduce.Job:  map 43% reduce 2%
17/03/23 06:41:51 INFO mapreduce.Job:  map 44% reduce 2%
17/03/23 06:42:34 INFO mapreduce.Job:  map 45% reduce 2%
17/03/23 06:42:53 INFO mapreduce.Job:  map 45% reduce 3%
17/03/23 06:43:14 INFO mapreduce.Job:  map 46% reduce 3%
17/03/23 06:43:58 INFO mapreduce.Job:  map 47% reduce 3%
17/03/23 06:44:40 INFO mapreduce.Job:  map 48% reduce 3%
17/03/23 06:45:21 INFO mapreduce.Job:  map 49% reduce 3%
17/03/23 06:46:01 INFO mapreduce.Job:  map 50% reduce 3%
17/03/23 06:46:42 INFO mapreduce.Job:  map 51% reduce 3%
17/03/23 06:47:20 INFO mapreduce.Job:  map 52% reduce 3%
17/03/23 06:48:00 INFO mapreduce.Job:  map 53% reduce 3%
17/03/23 06:48:42 INFO mapreduce.Job:  map 54% reduce 3%
17/03/23 06:49:24 INFO mapreduce.Job:  map 55% reduce 3%
17/03/23 06:50:04 INFO mapreduce.Job:  map 56% reduce 3%
